award,doi,asset_id
MCB090163,https://doi.org/10.1038/s41467-021-27310-8,9924117390601921
FP7/2007-2013,https://doi.org/10.1093/mnras/stz341,9924552843201921
2011486,https://doi.org/10.1038/s41467-021-27310-8,9924117390601921
TG-MCB090163,https://doi.org/10.1038/s41467-021-27310-8,9924117390601921
DMR-MRSEC 2011486,https://doi.org/10.1038/s41467-021-27310-8,9924117390601921
12192223,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
11933007,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
OPP-1852617,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
HST-HF2-51431.001-A,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
11991053,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
100010434,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
11991052,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
TG-AST080026N,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
FB210003,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
11650110427,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
89233218CNA000001,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
OPP-1248097,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
11725312,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
12192220,https://doi.org/10.1051/0004-6361/202347932,9924325586301921
FPA2015-68048,https://doi.org/10.1093/mnras/stz2609,9924552843501921
AYA2015-71825,https://doi.org/10.1093/mnras/stz2609,9924552843501921
2012B-0001,https://doi.org/10.1093/mnras/stz2609,9924552843501921
FP7/2007-2013,https://doi.org/10.1093/mnras/stz2609,9924552843501921
NNH15ZDA001N,https://doi.org/10.1093/mnras/stz2609,9924552843501921
AYA2015-71825,https://doi.org/10.1093/mnras/staa652,9924552850201921
FPA2015-68048,https://doi.org/10.1093/mnras/staa652,9924552850201921
FP7/2007-2013,https://doi.org/10.1093/mnras/staa652,9924552850201921
75N91019D00024,https://doi.org/10.1016/j.chempr.2023.04.023,9924261987601921
TG-MCB090163,https://doi.org/10.1103/physrevlett.129.258001,9924188487701921
CAREER,https://doi.org/10.1039/d3sc03465h,9924289019601921
MCB090163,https://doi.org/10.1021/acsnano.2c00865,9924151068501921
TG-MCB090163,https://doi.org/10.1021/acsnano.2c00865,9924151068501921
11633006,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
11933007,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
OPP-1852617,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
11991053,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
HST-HF2-51431.001-A,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
18KK0090,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
11573051,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
11991052,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
JP18K13594,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
11721303,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
TG-AST080026N,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
11650110427,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
10625314,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
OPP-1248097,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
89233218CNA000001,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
610058,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
AST-1555365,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
ZDBS-LY-SLH011,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
11725312,https://doi.org/10.3847/1538-4357/ac7a40,9924151036701921
CAREER,https://doi.org/10.1039/d4sc05723f,9924397677801921
IBN180002,https://doi.org/10.1523/jneurosci.1412-22.2022,9924183278801921
NSF10604,https://doi.org/10.7554/elife.38846,9923906479201921
DEB-1256758,https://doi.org/10.1093/g3journal/jkad133,9924550656101921
9097-12,https://doi.org/10.1093/g3journal/jkad133,9924550656101921
CAREER,https://doi.org/10.1103/physrevd.98.025019,9924086400901921
AYA2015-71825,https://doi.org/10.1093/mnras/sty2329,9924552836201921
FPA2015-68048,https://doi.org/10.1093/mnras/sty2329,9924552836201921
12192223,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
11933007,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
OPP-1852617,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
11991053,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
HST-HF2-51431.001-A,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
100010434,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
11991052,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
TG-AST080026N,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
11650110427,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
10625314,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
89233218CNA000001,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
OPP-1248097,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
11725312,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
12192223,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
11933007,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
12192220,https://doi.org/10.1051/0004-6361/202348308,9924329786201921
FP7/2007-2013,https://doi.org/10.1093/mnras/sty2329,9924552836201921
HST-HF2-51431.001-A,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
AST-1952099,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
100010434,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
11991053,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
11991052,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
11721303,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
FB210003,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
11650110427,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
10625314,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
89233218CNA000001,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
OPP-1248097,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
11725312,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
AST-1555365,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
12192220,https://doi.org/10.3847/1538-3881/ad5bdb,9924392286101921
12192223,https://doi.org/10.1051/0004-6361/202450497,9924417883601921
11933007,https://doi.org/10.1051/0004-6361/202450497,9924417883601921
HST-HF2-51431.001-A,https://doi.org/10.1051/0004-6361/202450497,9924417883601921
11991053,https://doi.org/10.1051/0004-6361/202450497,9924417883601921
AST-1952099,https://doi.org/10.1051/0004-6361/202450497,9924417883601921
100010434,https://doi.org/10.1051/0004-6361/202450497,9924417883601921
11991052,https://doi.org/10.1051/0004-6361/202450497,9924417883601921
11650110427,https://doi.org/10.1051/0004-6361/202450497,9924417883601921
89233218CNA000001,https://doi.org/10.1051/0004-6361/202450497,9924417883601921
OPP-1248097,https://doi.org/10.1051/0004-6361/202450497,9924417883601921
11725312,https://doi.org/10.1051/0004-6361/202450497,9924417883601921
12192220,https://doi.org/10.1051/0004-6361/202450497,9924417883601921
TG-MCB090163,https://doi.org/10.1103/physrevlett.125.268003,9924086507401921
DMR-MRSEC 2011486,https://doi.org/10.1103/physrevlett.125.268003,9924086507401921
161553,https://doi.org/10.1093/mnras/stz1539,9924552844201921
AYA2015-71825,https://doi.org/10.1093/mnras/stz1539,9924552844201921
FPA2015-68048,https://doi.org/10.1093/mnras/stz1539,9924552844201921
142038,https://doi.org/10.1083/jcb.202006022,9923970142901921
AYA2015-71825,https://doi.org/10.1093/mnras/stz2805,9924552843301921
FPA2015-68048,https://doi.org/10.1093/mnras/stz2805,9924552843301921
SC005336,https://doi.org/10.1016/j.astropartphys.2020.102480,9924328184101921
FPA2015-68048,https://doi.org/10.1093/mnras/staa1157,9924552851801921
AYA2015-71825,https://doi.org/10.1093/mnras/staa1157,9924552851801921
02543,https://doi.org/10.1007/jhep07(2021)005,9924117860501921
FPA2015-68048,https://doi.org/10.1093/mnras/stz2483,9924552843601921
AYA2015-71825,https://doi.org/10.1093/mnras/stz2483,9924552843601921
639.043.308,https://doi.org/10.1093/mnras/stz2483,9924552843601921
NAS 5-26555,https://doi.org/10.1093/mnras/stz2483,9924552843601921
FPA2015-68048,https://doi.org/10.1093/mnras/staa1812,9924552851401921
