asset_id,doi,award_id,is_exist
9924270487501921,10.1039/d3sc00870c,GM132675,True
9924270487501921,10.1039/d3sc00870c,GM133963,True
9924270487501921,10.1039/d3sc00870c,GM134210,True
9924270487501921,10.1039/d3sc00870c,GM134210,True
9924270487501921,10.1039/d3sc00870c,GM134210,True
9924270487501921,10.1039/d3sc00870c,RR025082,True
9924167257401921,10.1063/5.0130407,GM108021,True
9924150867901921,10.1063/5.0089556,GM108021,True
9924427116501921,10.1055/a-2500-7798,1S10OD0,True
9924427116501921,10.1055/a-2500-7798,GM135126,True
9924427116501921,10.1055/a-2500-7798,GM135126,True
9924427116501921,10.1055/a-2500-7798,OD034395,True
9924457563701921,10.1063/5.0181308,DA057767,True
9924457563701921,10.1063/5.0181308,DA057767,True
9924457563701921,10.1063/5.0181308,R01DA,True
9924594037901921,10.1044/2019_aja-18-0173,AG019714,True
9924594037901921,10.1044/2019_aja-18-0173,AG019714,True
9924594037901921,10.1044/2019_aja-18-0173,DC016834,True
9924594037901921,10.1044/2019_aja-18-0173,GM084907,True
9923972906801921,10.1073/pnas.1718474115,GM061591,True
9923906579601921,10.1073/pnas.1808552115,NS097343,True
9923970780901921,10.1073/pnas.1716855115,GM007122,True
9923970780901921,10.1073/pnas.1716855115,GM020056,True
9923970780901921,10.1073/pnas.1716855115,GM076020,True
9924293215401921,10.1063/5.0166846,NS007292,True
9924293215401921,10.1063/5.0166846,NS007292,True
9924293215401921,10.1063/5.0166846,NS007292,True
9924293215401921,10.1063/5.0166846,NS097343,True
9924293215401921,10.1063/5.0166846,NS097343,True
9923989192601921,10.1073/pnas.1902825116,AR066318,True
9923989192601921,10.1073/pnas.1902825116,GM077995,True
9923970126101921,10.1073/pnas.1817078116,GM053396,True
9923970126101921,10.1073/pnas.1817078116,GM061766,True
9923970126101921,10.1073/pnas.1817078116,GM127029,True
9923906477801921,10.1073/pnas.1906595116,DA033463,True
9923906477801921,10.1073/pnas.1906595116,EY025613,True
9923906582601921,10.1073/pnas.1911413116,GM008396,True
9923906582601921,10.1073/pnas.1911413116,MH046742,True
9923906579701921,10.1073/pnas.1916514117,MH046742,True
9923906579701921,10.1073/pnas.1916514117,NS097343,True
