asset_id,doi,award_id,is_exist
9924188487701921,10.1103/physrevlett.129.258001,090163,True
9924188487701921,10.1103/physrevlett.129.258001,1855914,True
9924188487701921,10.1103/physrevlett.129.258001,1920147,True
9924188487701921,10.1103/physrevlett.129.258001,2011846,True
9924210785401921,10.1103/physrevlett.130.128204,1913093,True
9924210785401921,10.1103/physrevlett.130.128204,1916877,True
9924210785401921,10.1103/physrevlett.130.128204,1920147,True
9924210785401921,10.1103/physrevlett.130.128204,2011750,True
9924210785401921,10.1103/physrevlett.130.128204,2011846,True
9924357416501921,10.1103/physrevlett.132.208401,2143670,True
9924158183901921,10.1103/physrevresearch.4.023001,1734011,True
9924131505701921,10.1103/physrevresearch.4.023043,2004400,True
9924131505701921,10.1103/physrevresearch.4.023043,2004417,True
9924131505701921,10.1103/physrevresearch.4.023043,2004566,True
9924150869201921,10.1103/physrevx.12.031006,0820484,True
9924150869201921,10.1103/physrevx.12.031006,1420570,True
9924150869201921,10.1103/physrevx.12.031006,1748958,True
9924150869201921,10.1103/physrevx.12.031006,2004380,True
9924150869201921,10.1103/physrevx.12.031006,2004617,True
9924150869201921,10.1103/physrevx.12.031006,2011846,True
9924147170101921,10.1103/physrevx.12.031021,1809762,True
9924147170101921,10.1103/physrevx.12.031021,1916877,True
9924147170101921,10.1103/physrevx.12.031021,2016188,True
9924147170101921,10.1103/physrevx.12.031021,2026834,True
9924359184901921,10.1103/physrevx.14.021027,2139899,True
9924402342701921,10.1103/physrevx.14.041002,2011846,True
9924402342701921,10.1103/physrevx.14.041002,2047119,True
9924402342701921,10.1103/physrevx.14.041002,2202353,True
9924425629301921,10.1103/physrevx.14.041063,090163,True
9924425629301921,10.1103/physrevx.14.041063,1920147,True
9924425629301921,10.1103/physrevx.14.041063,2011846,True
9924425629301921,10.1103/physrevx.14.041063,2309635,True
9924325587201921,10.1103/prxquantum.5.010201,1607611,True
9924325587201921,10.1103/prxquantum.5.010201,1748958,True
9924117863001921,10.1103/revmodphys.93.025008,1420382,True
9924117863001921,10.1103/revmodphys.93.025008,2011846,True
9924117863001921,10.1103/revmodphys.93.025008,2028885,True
9924050515701921,10.1107/s2056989021007039,0089257,True
9924050515701921,10.1107/s2056989021007039,0303450,True
9924050515701921,10.1107/s2056989021007039,0504000,True
9924179982401921,10.1109/tnnls.2022.3218936,1920147,True
9924179982401921,10.1109/tnnls.2022.3218936,1933525,True
9924550652401921,10.1111/conl.12920,1518359,True
9923972816801921,10.1111/mmi.14393,2017219379,True
9924179953501921,10.1112/blms.12680,1802242,True
9924379182301921,10.1112/blms.13118,1803368,True
9924379182301921,10.1112/blms.13118,1840190,True
9924379182301921,10.1112/blms.13118,2106906,True
9924379182301921,10.1112/blms.13118,2202986,True
9924363684401921,10.1112/jlms.12916,1803368,True
9924363684401921,10.1112/jlms.12916,1840190,True
9924363684401921,10.1112/jlms.12916,2106906,True
9924363684401921,10.1112/jlms.12916,2202986,True
9924282461501921,10.1112/mtk.12221,1900560,True
