award,doi
1312651,https://doi.org/10.3847/2041-8213/ab1141
1615796,https://doi.org/10.3847/2041-8213/ab1141
1248097,https://doi.org/10.3847/2041-8213/ab1141
1140030,https://doi.org/10.3847/2041-8213/ab1141
0735191,https://doi.org/10.3847/2041-8213/ab1141
1125897,https://doi.org/10.3847/2041-8213/ab0c96
1743747,https://doi.org/10.3847/2041-8213/ab1141
0922984,https://doi.org/10.3847/2041-8213/ab1141
0352953,https://doi.org/10.3847/2041-8213/ab1141
1228509,https://doi.org/10.3847/2041-8213/ab1141
0735191,https://doi.org/10.3847/2041-8213/ab1141
1614868,https://doi.org/10.3847/2041-8213/ab1141
1310896,https://doi.org/10.3847/2041-8213/ab1141
1207752,https://doi.org/10.3847/2041-8213/ab1141
1337663,https://doi.org/10.3847/2041-8213/ab1141
0096454,https://doi.org/10.3847/2041-8213/ab1141
1126433,https://doi.org/10.3847/2041-8213/ab1141
0352953,https://doi.org/10.3847/2041-8213/ab1141
0922984,https://doi.org/10.3847/2041-8213/ab1141
1816420,https://doi.org/10.3847/2041-8213/ab1141
1816420,https://doi.org/10.3847/2041-8213/ab1141
1126433,https://doi.org/10.3847/2041-8213/ab1141
1716327,https://doi.org/10.3847/2041-8213/ab1141
1743747,https://doi.org/10.3847/2041-8213/ab1141
1125897,https://doi.org/10.3847/2041-8213/ab1141
1207752,https://doi.org/10.3847/2041-8213/ab1141
1207704,https://doi.org/10.3847/2041-8213/ab0ec7
1312651,https://doi.org/10.3847/2041-8213/ab0ec7
1144085,https://doi.org/10.3847/2041-8213/ab0ec7
1144085,https://doi.org/10.3847/2041-8213/ab0ec7
1140030,https://doi.org/10.3847/2041-8213/ab0ec7
0705062,https://doi.org/10.3847/2041-8213/ab0ec7
1615796,https://doi.org/10.3847/2041-8213/ab0ec7
0705062,https://doi.org/10.3847/2041-8213/ab0ec7
0096454,https://doi.org/10.3847/2041-8213/ab0ec7
1310896,https://doi.org/10.3847/2041-8213/ab0ec7
1715061,https://doi.org/10.3847/2041-8213/ab0ec7
0905844,https://doi.org/10.3847/2041-8213/ab0ec7
1207730,https://doi.org/10.3847/2041-8213/ab0ec7
1207730,https://doi.org/10.3847/2041-8213/ab0ec7
1715061,https://doi.org/10.3847/2041-8213/ab0ec7
1337663,https://doi.org/10.3847/2041-8213/ab0ec7
1207704,https://doi.org/10.3847/2041-8213/ab0ec7
1125897,https://doi.org/10.3847/2041-8213/ab1141
1440254,https://doi.org/10.3847/2041-8213/ab0ec7
0521233,https://doi.org/10.3847/2041-8213/ab0ec7
1716327,https://doi.org/10.3847/2041-8213/ab0ec7
1614868,https://doi.org/10.3847/2041-8213/ab0ec7
0521233,https://doi.org/10.3847/2041-8213/ab0ec7
1140030,https://doi.org/10.3847/2041-8213/ab0ec7
1248097,https://doi.org/10.3847/2041-8213/ab0ec7
0905844,https://doi.org/10.3847/2041-8213/ab0ec7
1228509,https://doi.org/10.3847/2041-8213/ab0ec7
1312651,https://doi.org/10.3847/2041-8213/ab0ec7
1615796,https://doi.org/10.3847/2041-8213/ab0ec7
1743747,https://doi.org/10.3847/2041-8213/ab0ec7
0922984,https://doi.org/10.3847/2041-8213/ab0ec7
1228509,https://doi.org/10.3847/2041-8213/ab0ec7
0352953,https://doi.org/10.3847/2041-8213/ab0ec7
1337663,https://doi.org/10.3847/2041-8213/ab0ec7
1614868,https://doi.org/10.3847/2041-8213/ab0ec7
1207752,https://doi.org/10.3847/2041-8213/ab0ec7
1310896,https://doi.org/10.3847/2041-8213/ab0ec7
0096454,https://doi.org/10.3847/2041-8213/ab0ec7
0352953,https://doi.org/10.3847/2041-8213/ab0ec7
1126433,https://doi.org/10.3847/2041-8213/ab0ec7
0922984,https://doi.org/10.3847/2041-8213/ab0ec7
1440254,https://doi.org/10.3847/2041-8213/ab0ec7
1816420,https://doi.org/10.3847/2041-8213/ab0ec7
0114422,https://doi.org/10.3847/2041-8213/ab0e85
1816420,https://doi.org/10.3847/2041-8213/ab0ec7
1126433,https://doi.org/10.3847/2041-8213/ab0ec7
1207752,https://doi.org/10.3847/2041-8213/ab0ec7
1207704,https://doi.org/10.3847/2041-8213/ab0e85
1312651,https://doi.org/10.3847/2041-8213/ab0e85
1144085,https://doi.org/10.3847/2041-8213/ab0e85
1716327,https://doi.org/10.3847/2041-8213/ab0ec7
1548562,https://doi.org/10.3847/2041-8213/ab0e85
1265383,https://doi.org/10.3847/2041-8213/ab0e85
1743747,https://doi.org/10.3847/2041-8213/ab0ec7
1144085,https://doi.org/10.3847/2041-8213/ab0e85
0735191,https://doi.org/10.3847/2041-8213/ab0e85
1615796,https://doi.org/10.3847/2041-8213/ab0e85
0705062,https://doi.org/10.3847/2041-8213/ab0e85
1743442,https://doi.org/10.3847/2041-8213/ab0e85
1743442,https://doi.org/10.3847/2041-8213/ab0e85
0114422,https://doi.org/10.3847/2041-8213/ab0e85
1310896,https://doi.org/10.3847/2041-8213/ab0e85
1715061,https://doi.org/10.3847/2041-8213/ab0e85
0705062,https://doi.org/10.3847/2041-8213/ab0e85
0096454,https://doi.org/10.3847/2041-8213/ab0e85
1140030,https://doi.org/10.3847/2041-8213/ab0e85
1715061,https://doi.org/10.3847/2041-8213/ab0e85
1548562,https://doi.org/10.3847/2041-8213/ab0e85
1440254,https://doi.org/10.3847/2041-8213/ab0e85
1548562,https://doi.org/10.3847/2041-8213/ab0e85
1548562,https://doi.org/10.3847/2041-8213/ab0e85
1207730,https://doi.org/10.3847/2041-8213/ab0e85
0905844,https://doi.org/10.3847/2041-8213/ab0e85
1207704,https://doi.org/10.3847/2041-8213/ab0e85
1207730,https://doi.org/10.3847/2041-8213/ab0e85
1716327,https://doi.org/10.3847/2041-8213/ab0e85
1228509,https://doi.org/10.3847/2041-8213/ab0e85
0905844,https://doi.org/10.3847/2041-8213/ab0e85
1312651,https://doi.org/10.3847/2041-8213/ab0e85
0735191,https://doi.org/10.3847/2041-8213/ab0e85
0922984,https://doi.org/10.3847/2041-8213/ab0e85
1614868,https://doi.org/10.3847/2041-8213/ab0e85
